Global_id  Isotope_id   Species_id   Molecule_name    Q_file           nu_min           nu_max          
26         1            261          12C2H2           q76.txt          13.624           10736.235       
26         2            262          H12C13CH         q77.txt          613.536          9856.61         
26         3            263          H12C12CD         q105.txt         1.983            788.718         
27         1            271          12C2H6           q78.txt          225.045          3070.971        
27         2            272          12CH313CH3       q106.txt         285.21           918.717         
28         1            281          31PH3            q79.txt          1.901E-6         3659.266        
29         1            291          12C16O19F2       q80.txt          696.562          2001.348        
29         2            292          13C16O19F2       q119.txt         686.731          814.531         
30         1            301          32S19F6          q126.txt         NA               NA              
31         1            311          H232S            q81.txt          2.985            11329.78        
31         2            312          H234S            q82.txt          5.615            11226.587       
31         3            313          H233S            q83.txt          5.601            11071.42        
32         1            321          H12C16O16OH      q84.txt          10.018           1889.334        
33         1            331          H16O2            q85.txt          0.173            3675.819        
34         1            341          16O              nan              68.716           158.303         
35         1            351          35Cl16O14N16O2   q127.txt         NA               NA              
35         2            352          37Cl16O14N16O2   q128.txt         NA               NA              
36         1            361          14N16O+          q87.txt          3.976            2530.462        
37         1            371          H16O79Br         q88.txt          0.155            315.908         
37         2            372          H16O81Br         q89.txt          0.247            315.84          
38         1            381          12C2H4           q90.txt          620.058          3242.172        
38         2            382          12CH213CH2       q91.txt          614.74           3180.238        
39         1            391          12CH316OH        q92.txt          0.019            1407.206        
40         1            401          12CH379Br        q93.txt          794.403          1705.612        
40         2            402          12CH381Br        q94.txt          795.083          1696.896        
41         1            411          12CH312C14N      q95.txt          0.093            963.77          
42         1            421          12C19F4          q96.txt          NA               NA              
43         1            431          12C4H2           q116.txt         0.053            1302.217        
44         1            441          H12C314N         q109.txt         4.360E-4         3362.567        
45         1            451          H2               q103.txt         15.604           27184.076       
45         2            452          HD               q115.txt         3.227            36405.367       
46         1            461          12C32S           q97.txt          1.587            2585.247        
46         2            462          12C34S           q98.txt          1.596            1358.854        
46         3            463          13C32S           q99.txt          1.532            1330.547        
46         4            464          12C33S           q100.txt         1.609            155.358         
47         1            471          32S16O3          q114.txt         0.04             2824.347        
48         1            481          12C214N2         q123.txt         200.772          307.374         
49         1            491          12C16O35Cl2      q124.txt         793.149          899.767         
49         2            492          12C16O35Cl37Cl   q125.txt         800.973          891.179         
50         1            501          32S16O           q146.txt         0.416            12630.955       
50         2            502          34S16O           q147.txt         0.418            371.761         
50         3            503          32S18O           q148.txt         0.371            362.724         
51         1            511          12CH319F         q144.txt         1067.375         1290.255        
52         1            521          74GeH4           q139.txt         648.784          2269.577        
52         2            522          72GeH4           q140.txt         649.232          2269.882        
52         3            523          70GeH4           q141.txt         649.705          2270.201        
52         4            524          73GeH4           q142.txt         649.005          2269.724        
52         5            525          76GeH4           q143.txt         648.358          2269.296        
53         1            531          12C32S2          q131.txt         31.541           6466.423        
53         2            532          32S12C34S        q132.txt         198.952          4561.827        
53         3            533          32S12C33S        q133.txt         611.204          4566.887        
53         4            534          13C32S2          q134.txt         19.354           4425.098        
54         1            541          12CH3127I        q145.txt         693.022          3273.541        
55         1            551          14N19F3          q136.txt         NA               NA              
